pmid,pmcid,title,journal,year,volume,issue,pages,doi,authors,first_author,last_author,epubdate,pubdate,mesh,affiliations,url
39174535,,"Recent advances in Alzheimer's disease: Mechanisms, clinical trials and new drug development strategies.",Signal Transduct Target Ther,2024,9,1,211,10.1038/s41392-024-01911-3,,,,,2024-08-23T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39174535
39293530,,"AI-driven innovations in Alzheimer's disease: Integrating early diagnosis, personalized treatment, and prognostic modelling.",Ageing Res Rev,2024,101,,102497,10.1016/j.arr.2024.102497,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39293530
38335558,,Artificial intelligence for drug discovery and development in Alzheimer's disease.,Curr Opin Struct Biol,2024,85,,102776,10.1016/j.sbi.2024.102776,,,,,2024-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38335558
38565393,,NLRP3 inflammasome signalling in Alzheimer's disease.,Neuropharmacology,2024,252,,109941,10.1016/j.neuropharm.2024.109941,,,,,2024-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38565393
38715083,,Promoting Alzheimer's disease research and therapy with stem cell technology.,Stem Cell Res Ther,2024,15,1,136,10.1186/s13287-024-03737-w,,,,,2024-05-07T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38715083
40229575,,A meta-analysis of technology use and cognitive aging.,Nat Hum Behav,2025,9,7,1405-1419,10.1038/s41562-025-02159-9,,,,,2025-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40229575
38647399,,Hybrid Membrane-Coated Nanoparticles for Precise Targeting and Synergistic Therapy in Alzheimer's Disease.,Adv Sci (Weinh),2024,11,24,e2306675,10.1002/advs.202306675,,,,,2024-06-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38647399
38254212,,"Plasma metabolic profiles predict future dementia and dementia subtypes: a prospective analysis of 274,160 participants.",Alzheimers Res Ther,2024,16,1,16,10.1186/s13195-023-01379-3,,,,,2024-01-22T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38254212
39865265,,Second-generation anti-amyloid monoclonal antibodies for Alzheimer's disease: current landscape and future perspectives.,Transl Neurodegener,2025,14,1,6,10.1186/s40035-025-00465-w,,,,,2025-01-27T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39865265
38649866,,Biomimetic Nanovesicles as a Dual Gene Delivery System for the Synergistic Gene Therapy of Alzheimer's Disease.,ACS Nano,2024,18,18,11753-11768,10.1021/acsnano.3c13150,,,,,2024-05-07T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38649866
39358810,,Multi-omics analysis reveals the key factors involved in the severity of the Alzheimer's disease.,Alzheimers Res Ther,2024,16,1,213,10.1186/s13195-024-01578-6,,,,,2024-10-02T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39358810
39072981,,Structure-function coupling reveals the brain hierarchical structure dysfunction in Alzheimer's disease: A multicenter study.,Alzheimers Dement,2024,20,9,6305-6315,10.1002/alz.14123,,,,,2024-09-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39072981
39455807,,The Digitized Memory Clinic.,Nat Rev Neurol,2024,20,12,738-746,10.1038/s41582-024-01033-y,,,,,2024-12-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39455807
39698778,,"Anti-amyloid treatments in Alzheimer's disease: elegance, evidence and ethics.",Adv Clin Exp Med,2024,33,12,1303-1309,10.17219/acem/198674,,,,,2024-12-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39698778
