"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Artificial Intelligence-Driven Early Alzheimer's Disease Detection Framework from EEG Signals Through Attention-Based Generative Adversarial Network","D. K. Ravikanti; S. Saravanan","Computing Technology, SRM Institute of Science and Technology, Kattankulathur, Tamil Nadu, India; Computing Technology, SRM Institute of Science and Technology, Kattankulathur, Tamil Nadu, India",2025 6th International Conference on Data Intelligence and Cognitive Informatics (ICDICI),"2 Sep 2025","2025","","","400","406","Alzheimer's disease (AD) is considered a progressive neurogenerative disorder that highly impacts elder people. Gradually this disease results in memory loss, poor thinking capacity, and overall cognitive decline. Nevertheless, various traditional works recommend that the pathological variations present in the brain happen decades prior to the initial clinical signs appearing. The implementation of cost-effective and noninvasive approaches to identify AD is significant for its timely mitigation as well as prevention. Therefore, in this article, an advanced generative Artificial Intelligence (AI)-aided AD detection approach is designed using Electroencephalogram (EEG) signals, which are helpful for the early diagnosis and monitoring of AD progression very effectively. The EEG signals required for the identification of AD are collected from benchmark sources and are applied as the input to the ShortTerm Fourier Transform (STFT) for spectrogram image conversion. The AD detection is done using the proposed Attention-based Generative Adversarial Network (A-GAN), which produces the most desirable detection outcomes by classifying the input STFT images. The classification results are compared with the baseline AD detection approaches to validate the performance of the designed technique using various measures. The developed model supports earlier detection and provides highly more effective treatment interventions.","","979-8-3315-0313-0","10.1109/ICDICI66477.2025.11135201","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11135201","Alzheimer's Disease Detection;Artificial Intelligence;Electroencephalogram Signals;Short-term Fourier Transform;Attention-based Generative Adversarial Network","Pathology;Fourier transforms;Accuracy;Prevention and mitigation;Generative adversarial networks;Brain modeling;Reliability engineering;Electroencephalography;Alzheimer's disease;Spectrogram","","","","22","IEEE","2 Sep 2025","","","IEEE","IEEE Conferences"
"Role of Artificial Intelligence (Random Forest) Based Advances Detection and Development Prediction Version of Alzheimer's Diseases","P. Joshi; J. Rautela; N. Gairola; A. Raj; P. Ghildiyal; J. Suyal","Uttaranchal Institute of Pharmaceutical Sciences, Uttaranchal University, Dehradun, Uttarakhand; Uttaranchal Institute of Pharmaceutical Sciences, Uttaranchal University, Dehradun, Uttarakhand; Uttaranchal Institute of Pharmaceutical Sciences, Uttaranchal University, Dehradun, Uttarakhand; School of Pharmaceutical Sciences, Apeejay Satya University, Gurugram, Haryana, India; Uttaranchal Institute of Pharmaceutical Sciences, Uttaranchal University, Dehradun, Uttarakhand; Uttaranchal Institute of Pharmaceutical Sciences, Uttaranchal University, Dehradun, Uttarakhand",2023 International Conference on Advanced Computing & Communication Technologies (ICACCTech),"27 Feb 2024","2023","","","271","278","The most alarming and neuronal disorder. Through many studies and with the help of the latest Artificial intelligence-based equipment models it was observed that Alzheimer's disease is probably caused by the silencing of the sensitive nerves that are responsible for the transmission of one impulse to another this interferes with the pathways through the accumulation of beta-amyloid protein which is formed due to improper fragment of Amyloid Precursor protein. AI diagnosis of AD (AD) rapid development of Neuroimaging advancement. Random forest specialized techniques that work with the latest CDSS (Clinical Decision Support System) techniques that help in the early detection of AD. The latest technology of machine learning like DT (Decision Tree), and FRBS (Fuzzy-based Based System) helpful efforts made by ML techniques are considered the key roles of the medical practitioner in diagnosing AD with the help of the latest technology Analyzing the sequential behaviors of aqueous humor which indicates the signaling pathways between eye contact and nerves, through the latest radiological processes like PET (Positron Emission Tomography), through the detection responding times popularly known as Pseudo time and many other latest based technologies like CNN (Computed Neural Network) techniques many associated techniques which works by detections of biomarkers of ADs.","","979-8-3503-8088-0","10.1109/ICACCTech61146.2023.00051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441728","Neurodegenerative disease;Dementia;PET;Beta-amyloid Protein;Amyloid Precursor protein","Proteins;Neuroimaging;Alzheimer's disease;Positron emission tomography;Task analysis;Random forests;Medical diagnostic imaging","","","","26","IEEE","27 Feb 2024","","","IEEE","IEEE Conferences"
"Define a function on gene order of DNA microarray data and use it to identify genes associated with Alzheimer's disease","B. -Q. Hu; P. Shuai; Z. -c. Shan; C. -Y. Pang","College of Management Science, Chengdu University of Technology, Chengdu, China; Group of Gene Computation, College of Mathematics and Software Science, Sichuan Normal University, Chengdu, China; Group of Gene Computation, College of Mathematics and Software Science, Sichuan Normal University, Chengdu, China; Group of Gene Computation, Key Laboratory of Visual, Computation and Virtual Reality of Sichuan Province, Chengdu, China",2011 IEEE International Conference on Granular Computing,"5 Jan 2012","2011","","","836","839","Alzheimer's disease (AD) is the most ordinary kind of dementia. Identifying genes associated with AD is a new topic, and the key is to design algorithm to search AD genes. Gene order is a permutation of genes in which similar genes are ordered together. In this paper, a function is defined on gene order, and function value measures the similarity degree between a gene and its neighbors. Through the function value, the neighbors of a gene can be identified. The genes keeping as neighbor of AD gene (APOE, presenilins 1 or 2) at any stage (control, incipient, moderate, severe) are identified as the candidate of the gene associated with AD, where AD gene has been proved acting risk factor of AD. Experiment results of this paper have been proved some genes associated with AD.","","978-1-4577-0371-3","10.1109/GRC.2011.6122708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6122708","Alzheimer's Disease;Gene Expression;Gene Order;APOE (presenilins 1 or 2)","Vectors;Alzheimer's disease;DNA;Gene expression;Heating","","2","","11","IEEE","5 Jan 2012","","","IEEE","IEEE Conferences"
"The nonlinear correlation character of gene expression data on Alzheimer's disease and hierarchy clustering of co-regulated gene","C. -Y. Pang; Y. Li; S. -Q. Liu; B. -Q. Hu","Group of Gene Computation, College of Mathematics and Software Science, Sichuan, Normal University (CMSS, SNU), Chengdu, China; College of Physics and Electronic Engineering, Sichuan Normal University, Chengdu, China; CMSS, SNU, Group of Gene Computation, Chengdu, China; College of Management Science, Chengdu University of Technology, Chengdu, China",2011 IEEE International Conference on Granular Computing,"5 Jan 2012","2011","","","859","862","Alzheimer's disease (AD) is the most common form of dementia. Possibly it is caused by some genes associated with co-regulation genes. With the development of DNA microarray technique, the identification of candidate co-regulated genes via computation becomes feasible. Co-regulated genes share similar biological character so that their expression levels are similar possibly. In this paper, the correlation on different variables of the AD expression data downloaded from [1], is analyzed using Principal Component Analysis (PCA), the following three features are observed: 1. Linear correlation is strong and nonlinear is weak. 2. Co-regulation information of genes is mapped into the compactness of clustering. 3. Nonlinear correlation causes the hierarchy of compact clustering. According these features, a hierarchical sorting of expression data is proposed, and its elementary framework is introduced in this paper.","","978-1-4577-0371-3","10.1109/GRC.2011.6122714","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6122714","Alzheimer's disease;DNA Microarray Data;Gene;Principal Component Analysis","Correlation;Alzheimer's disease;Vectors;Principal component analysis;Genetics;Educational institutions","","","","8","IEEE","5 Jan 2012","","","IEEE","IEEE Conferences"
"Early warning system of Alzheimer's disease based on deep learning","F. Gao; B. Yue; Q. Yang","School of Artificial Intelligence, Chongqing University of Arts and Sciences, Chongqing, China; Hospital of ChongQing University of Arts and Sciences, Chongqing, China; Yongchuan Hospital of Chongqing Medical University, Chongqing, China",2021 International Conference of Social Computing and Digital Economy (ICSCDE),"6 Oct 2021","2021","","","156","160","In order to overcome the problem that the signal-to-noise ratio of disease image is too low in the traditional early warning system of Alzheimer's disease, which leads to the low warning accuracy, this paper proposes a new early warning system of Alzheimer's disease based on deep learning. Design the network structure of the early warning system, and design the login registration module, early warning module and personal information modification module according to the system operation requirements. In the software part, the early MRI images of Alzheimer's disease are registered, and the registration results are input into the artificial neural network of deep learning technology, and the output results are the final early warning results. The experimental results show that, compared with the traditional early warning system, the output signal-to-noise ratio and early warning accuracy of image registration are higher, which shows that the system can effectively improve the effectiveness of early warning.","","978-1-6654-0142-5","10.1109/ICSCDE54196.2021.00044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551329","Deep learning;Artificial neural network;Alzheimer's disease;Early warning","Deep learning;Image registration;Social computing;Three-dimensional displays;Systems operation;Alarm systems;Software","","","","15","IEEE","6 Oct 2021","","","IEEE","IEEE Conferences"
"Evaluation of Deep Learning Models on Alzheimer's MRI Dataset: AD-VGG16, AD-Resnet50, and AD-2DCNN","L. M. Elnaghi; Y. M. Eltariny","Faculty of Computers and Information Technology, Future University in Egypt, Cairo, Egypt; Faculty of Computers and Information Technology, Future University in Egypt, Cairo, Egypt",2024 6th International Conference on Computing and Informatics (ICCI),"2 Apr 2024","2024","","","237","242","Alzheimer's disease accounts for 60-70% of instances of dementia. It is a neurological illness that often begins slowly, progresses, and worsens over time. The most typical early symptom is trouble memorizing recent events. As the illness progresses, symptoms may include confusion, difficulty speaking, and difficulty doing daily tasks. Using MRI medical images, previous studies have considered the application of deep learning to Alzheimer's disease, but this study introduced a novel aspect by simultaneously evaluating AD-VGG16, AD-Resnet50, and AD-2DCNN. Synergistic evaluation of these models provides a unique perspective to improve diagnostic accuracy. We used various preprocessing techniques, including pixel normalization and data augmentation using a well-known Alzheimer's MRI dataset, such as the Alzheimer MRI Preprocessed Dataset from Kaggle, to evaluate the models' precision, area under the curve (AUC), accuracy, and recall. Our analysis reveals distinct performance levels among the models. AD-VGG16, AD-Resnet50, and the 2D CNN were evaluated with resulting accuracies of 93.45%, 79.43%, and 98.28% on the test set, respectively. This research discusses a comparative evaluation of three frequently used deep learning models for the classification of Alzheimer's disease.","","979-8-3503-7387-5","10.1109/ICCI61671.2024.10485046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10485046","Alzheimer's disease;deep learning;MRI dataset;Resnet-50;VGG-16;AD-2DCNN","Deep learning;Analytical models;Sensitivity;Magnetic resonance imaging;Data models;Pattern recognition;Alzheimer's disease","","6","","7","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"Fine-Grained and Multiple Classification for Alzheimer's Disease With Wavelet Convolution Unit Network","J. Wen; Y. Li; M. Fang; L. Zhu; D. D. Feng; P. Li","School of Computer Science and Cyber Engineering, Guangzhou University, China; School of Mechatronic Engineering and Automation, Shanghai University, China; School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, China; ROAS Thrust, The Hong Kong University of Science and Technology (Guangzhou), China; Biomedical and Multimedia Information Technology Research Group, School of Computer Science, The University of Sydney, Australia; Department of Computing, the School of Design, and the Research Institute for Sports Science and Technology, The Hong Kong Polytechnic University, Hong Kong",IEEE Transactions on Biomedical Engineering,"30 Aug 2023","2023","70","9","2592","2603","In this article, we propose a novel wavelet convolution unit for the image-oriented neural network to integrate wavelet analysis with a vanilla convolution operator to extract deep abstract features more efficiently. On one hand, in order to acquire non-local receptive fields and avoid information loss, we define a new convolution operation by composing a traditional convolution function and approximate and detailed representations after single-scale wavelet decomposition of source images. On the other hand, multi-scale wavelet decomposition is introduced to obtain more comprehensive multi-scale feature information. Then, we fuse all these cross-scale features to improve the problem of inaccurate localization of singular points. Given the novel wavelet convolution unit, we further design a network based on it for fine-grained Alzheimer's disease classifications (i.e., Alzheimer's disease, Normal controls, early mild cognitive impairment, late mild cognitive impairment). Up to now, only a few methods have studied one or several fine-grained classifications, and even fewer methods can achieve both fine-grained and multi-class classifications. We adopt the novel network and diffuse tensor images to achieve fine-grained classifications, which achieved state-of-the-art accuracy for all eight kinds of fine-grained classifications, up to 97.30%, 95.78%, 95.00%, 94.00%, 97.89%, 95.71%, 95.07%, 93.79%. In order to build a reference standard for Alzheimer's disease classifications, we actually implemented all twelve coarse-grained and fine-grained classifications. The results show that the proposed method achieves solidly high accuracy for them. Its classification ability greatly exceeds any kind of existing Alzheimer's disease classification method.","1558-2531","","10.1109/TBME.2023.3256042","National Natural Science Foundation of China(grant numbers:62072126,61772164); Fundamental Research Projects Jointly Funded by Guangzhou Council and Municipal Universities(grant numbers:202102010439); Postgraduate Innovation Project of Guangzhou University(grant numbers:2021GDJC-D16); PolyU Research Institute for Sports Science and Technology(grant numbers:P0044571); Hong Kong Polytechnic University(grant numbers:P0030419,P0042740,P0044520,P0043906,P0035358); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10075503","Alzheimer's disease;wavelet analysis;fine-grained;multiple classification","Diffusion tensor imaging;Convolution;Feature extraction;Wavelet transforms;Wavelet analysis;Deep learning;Alzheimer's disease","Humans;Alzheimer Disease;Neural Networks, Computer;Cognitive Dysfunction;Brain;Databases, Factual","10","","43","IEEE","17 Mar 2023","","","IEEE","IEEE Journals"
"A Novel Speech-Aware Framework (SACENet) for Non-Invasive Detection of Alzheimer’s Disease","H. U; D. S","Department of Computer Science & Engineering, Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology, Chennai, India; Department of Computer Science & Engineering, Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology, Chennai, India",2025 5th International Conference on Soft Computing for Security Applications (ICSCSA),"25 Sep 2025","2025","","","1374","1379","Language, memory, and cognition are all impacted by Alzheimer's Disease (AD), a neurological disorder. Early detection is essential for timely intervention, but current diagnostic methods are often expensive, invasive, and non-scalable. The study suggests a deep learning-based technique called the Speech-Aware Cognitive Evaluation Network (SACENet) for the non-invasive prediction of Alzheimer's disease using speech data. SACENet combines a Convolutional Neural Network (CNN) for acoustic feature extraction with a Bidirectional Long Short-Term Memory (BiLSTM) network to model temporal speech characteristics such as articulation rate, pause frequency, and prosodic variation. The model was trained and evaluated using the ADReSS Challenge dataset, which includes balanced voice recordings from 78 AD patients and 78 healthy controls. SACENet's binary classification results included an F1-score of 89.28%, accuracy of 92.3%, precision of 90.12%, and recall of 88.46% after preprocessing steps like MFCC extraction and silence removal. These results demonstrate the effectiveness of the proposed method for early and precise speech-based AD detection, and it holds great potential for integration with remote diagnostic systems.","","979-8-3315-9491-6","10.1109/ICSCSA66339.2025.11170938","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11170938","Alzheimer's disease;Speech analysis;Deep learning;SACENet;CNN-BiLSTM;Early diagnosis","Deep learning;Accuracy;Speech analysis;Sensitivity;Bidirectional long short term memory;Feature extraction;Acoustics;Convolutional neural networks;Alzheimer's disease;Diseases","","","","18","IEEE","25 Sep 2025","","","IEEE","IEEE Conferences"
"A Deep Pair Siamese CNN for Multi-Class Classification of Alzheimer Disease.","H. Alaeddine; A. G. Blaiech; M. Jihene","Faculty of Sciences, Laboratory of Electronics and Microelectronics, LR99ES30, Monastir University, Monastir, Tunisia; Higher institute of applied sciences and technology of sousse, Sousse University, sousse, Tunisia; Faculty of Sciences, Laboratory of Electronics and Microelectronics, LR99ES30, Monastir University, Monastir, Tunisia",2023 International Conference on Cyberworlds (CW),"6 Dec 2023","2023","","","345","349","Alzheimer’s disease is a neurodegenerative disease characterized by a progressive loss memory and certain intellectual (cognitive) functions leading to repercussions in the activities of daily living. Early diagnosis of Alzheimer’s disease is a difficult task for researchers. In clinical research, magnetic resonance imaging (MRI) is used to diagnose Alzheimer’s disease. MRI can detect cortical atrophy and in particular atrophy of the hippocampi. Approaches based on deep convolutional neural network (CNN) and machine learning represent one solution and they are readily available and described to solve various problems related to the analysis of brain image data. High-dimensional classification approaches have been widely used to study magnetic resonance imaging (MRI) data for automatic classification of Alzheimer’s disease (AD). In this work, we proposed a Deep Siamese Convolutional Neural Network model for a Multi-class Classification of Dementia Stages in Alzheimer’s Disease. The experiments are carried out on the OASIS database accessible free of charge to the public. We compared our model with the best models and found that the proposed model outperforms the best models in terms of different performance.","2642-3596","979-8-3503-1565-3","10.1109/CW58918.2023.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10337609","Alzheimer’s Disease;Magnetic Resonance Imaging;Siamese Convolutional Neural Network;Open Access Imaging Studies (OASIS);Machine Learning;Tensorflow;Classification","Atrophy;Databases;Magnetic resonance imaging;Machine learning;Brain modeling;Convolutional neural networks;Alzheimer's disease","","1","","36","IEEE","6 Dec 2023","","","IEEE","IEEE Conferences"
"Diagnosis of Alzheimer's disease from EEG by means of synchrony measures in optimized frequency bands","E. Gallego-Jutglà; M. Elgendi; F. Vialatte; J. Solé-Casals; A. Cichocki; C. Latchoumane; J. Jeong; J. Dauwels","Digital Technologies Group, University of Vic, Vic, Spain; Institute for Media Innovation the School of Electrical & Electronic Engineering (EEE), Nanyang Technological University (NTU), Singapore; ESPCI ParisTech, Laboratoire SIGMA, Paris Cedex 05, France; Digital Technologies Group, University of Vic, Vic, Spain; RIKEN Brain Science Institute, LABSP, Wako-shi Saitama, Japan; Center for Neural Science, Korea Institute of Scinece and Technology (KIST), Seongbuk-Gu, Seoul, South Korea; Korea Advanced Institute of Science and Technology (KAIST), Departament of Bio and Brain Engineering, Daejeon, South Korea; School of Electrical & Electronic Engineering (EEE), Nanyang Technological University (NTU), Singapore",2012 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"10 Nov 2012","2012","","","4266","4270","Several clinical studies have reported that EEG synchrony is affected by Alzheimer's disease (AD). In this paper a frequency band analysis of AD EEG signals is presented, with the aim of improving the diagnosis of AD using EEG signals. In this paper, multiple synchrony measures are assessed through statistical tests (Mann-Whitney U test), including correlation, phase synchrony and Granger causality measures . Moreover, linear discriminant analysis (LDA) is conducted with those synchrony measures as features. For the data set at hand, the frequency range (5-6Hz) yields the best accuracy for diagnosing AD, which lies within the classical theta band (4-8Hz). The corresponding classification error is 4.88% for directed transfer function (DTF) Granger causality measure. Interestingly, results show that EEG of AD patients is more synchronous than in healthy subjects within the optimized range 5-6Hz, which is in sharp contrast with the loss of synchrony in AD EEG reported in many earlier studies. This new finding may provide new insights about the neurophysiology of AD. Additional testing on larger AD datasets is required to verify the effectiveness of the proposed approach.","1558-4615","978-1-4577-1787-1","10.1109/EMBC.2012.6346909","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6346909","","Electroencephalography;Frequency measurement;Alzheimer's disease;Frequency synchronization;Brain modeling;Educational institutions","Aged;Algorithms;Alzheimer Disease;Alzheimer Disease;Brain;Cortical Synchronization;Diagnosis, Computer-Assisted;Electroencephalography;Female;Humans;Male;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity","24","","18","IEEE","10 Nov 2012","","","IEEE","IEEE Conferences"
