"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"AttentionVGG-Modified VGG-16 for Alzheimer Disease Classification","F. Bin Ali; L. Paul; R. D. Mohalder; N. A. Joly; M. A. Iqbal; M. A. M. Khan","VISIE Ltd., Dhaka, Bangladesh; VISIE Ltd., Dhaka, Bangladesh; ICT Cell, Khulna University, Khulna, Bangladesh; Computer Science and Engineering Department, North Western University, Khulna, Bangladesh; ICT Cell, Khulna University, Khulna, Bangladesh; VISIE Ltd., Dhaka, Bangladesh",2024 27th International Conference on Computer and Information Technology (ICCIT),"10 Jun 2025","2024","","","2044","2049","Alzheimer’s disease (AD) is a neurodegenerative disorder that inflicts irreversible damage on several brain regions, particularly the hippocampus, resulting in cognitive, functional, and behavioral impairments. Timely identification of the ailment will alleviate the suffering of sufferers and their family ones. Deep learning algorithms have been effectively utilized in recent years for several medical imaging applications, including the identification of Alzheimer’s disease. In this paper, we propose a modification of VGG-16 architecture, AttentionVGG-16, that outperforms current state-of-the-art results on both the ADNI and OASIS datasets. We have done an ablation study to understand the impact of adding attention layers to VGG-16 and zero-shot learning strategy to understand the model’s generalization capability. We have achieved accuracy and the macro f-1 score of 0.98 on the OASIS dataset and 0.97 on the ADNI dataset. Additionally, the results obtained are compared with analogous methods presented in the literature.","2474-9656","979-8-3315-1909-4","10.1109/ICCIT64611.2024.11022447","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11022447","VGG-16;AttentionVGG;Alzheimer’s disease;MRI imaging;deep learning;dementia detection;neurodegeneration;attention mechanisms;zero-shot learning;medical AI","Hands;Attention mechanisms;Computational modeling;Magnetic resonance imaging;Zero shot learning;Numerical models;Alzheimer's disease;Information technology;Hippocampus;Biomedical imaging","","","","27","IEEE","10 Jun 2025","","","IEEE","IEEE Conferences"
"Multi-Layer Feature Fusion-based Deep Multi-layer Depth Separable Convolution Neural Network for Alzheimer's Disease Detection","S. K. Tripathy; D. Singh; A. Jaiswal","School of Computing Science and Engineering, VIT Bhopal University, Sehore, Madhya Pradesh, India; School of Computing Science and Engineering, Bennett University, Greater Noida, Uttar Pradesh, India; School of Engineering, Jawarharlal Nehru University, New Delhi, India","2023 International Conference on IoT, Communication and Automation Technology (ICICAT)","2 Oct 2023","2023","","","1","5","Alzheimer's disease (AD) is a severe degenerative neurological disorder that can cause heart and respiratory dysfunction. Thus, early detection of such disease is highly required. Using MRI images, a number of deep models have been created to predict AD as artificial intelligence (AI) has advanced. However, these models suffer from limited representation in extracting fine-grained features from MRI images thereby performance is declined. The proposed model overcomes such limitation and presents a methodology for AD detection by proposing a novel multi-layer feature fusion-based deep multi-layer depth-wise separable convolution neural network (CNN). The proposed model enhances the quality of features by fusing multi-layer features. These features range from representations of low-level features to features at the object level. The fused multiscale features are used for predicting AD disease. Publicly available dataset is used to validate the model's performance. With an accuracy of 95.16 percent, the suggested model performs better than the current state of the art.","","979-8-3503-0282-0","10.1109/ICICAT57735.2023.10263657","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10263657","medical image analysis;Alzheimer's disease;deep learning","Neurological diseases;Convolution;Magnetic resonance imaging;Predictive models;Feature extraction;Alzheimer's disease;Artificial intelligence","","10","","23","IEEE","2 Oct 2023","","","IEEE","IEEE Conferences"
"An Epidemiological-based Regression Analysis of Alzheimer’s disease and Mild Cognitive Impairment Converts in the Female Population","A. Khan; S. Zubair; S. Khan","Department of Computer Science, Aligarh Muslim University, Aligarh, India; Department of Computer Science, Aligarh Muslim University, Aligarh, India; Department of Community Medicine Integral Institute of Medical Sciences and Research, Integral University, Lucknow, India",IEEE EUROCON 2021 - 19th International Conference on Smart Technologies,"15 Sep 2021","2021","","","77","81","Detection and prediction of Alzheimer's Disease (AD) conversion from the stage of Mild Cognitive Impairment (MCI) have remained a challenging task. Regression analysis is a method that sorts those essential features/biomarkers that have a strong impact on the overall prediction. This study centres on delivering an individualized regression analysis of cognitively normal and MCI converts over the twenty independent biomarkers that leverage clinical data. Out of the 1713 male and female subjects, 768 female subjects were studied to investigate the prevalence of AD and MCI, those diagnosed with AD and MCI and their associated risk factors. The study data were gathered from the Alzheimer's Disease Neuroimaging Initiative (ADNI). Twenty potential clinical features were included; comprised of a combination of demographic, cerebral spinal fluid, cognitive, diffusion tensor imaging, electroencephalography, genetic, magnetic resonance imaging, and positron emission tomography testing variables. The regression analysis metrics R-squared, F-statistic, Omnibus, Durbin-Watson, Coefficient and Standard error, were used to evaluate the model. Our results showed that cognitive assessment metrics were highly significant among the other testing biomarkers. Additionally, we determined the significance of each clinical variable. Our performed analysis could impact the clinical setting as a means to further develop a machine learning model in predicting the conversion of MCI to AD or to detect principle subjects for clinical trials.","","978-1-6654-3299-3","10.1109/EUROCON52738.2021.9535564","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9535564","Alzheimer’s;converts;female;Mild Cognitive Impairment;Regression Analysis","Measurement;Sociology;Biomarkers;Genetics;Regression analysis;Alzheimer's disease;Statistics","","","","10","IEEE","15 Sep 2021","","","IEEE","IEEE Conferences"
"An Exercise Action Recognition System Using RFID Technology in Reducing the Impact of Alzheimer's Disease on the Elderly","T. D. Thanh; T. L. Duc; H. D. T. Ngoc","School of Electronics and Telecommunications, Hanoi University of Science and Technology, Hanoi, Vietnam; School of Electronics and Telecommunications, Hanoi University of Science and Technology, Hanoi, Vietnam; School of Electronics and Telecommunications, Hanoi University of Science and Technology, Hanoi, Vietnam",2024 International Conference on Advanced Technologies for Communications (ATC),"7 Mar 2025","2024","","","227","232","This paper presents a recognition system that uses passive RFID tags to identify and monitor various exercise actions accurately. This system is designed to assist doctors in evaluating the conditions of Alzheimer's patients, particularly the elderly. By providing precise data on physical activity, it aims to aid in the early detection and management of health issues, thereby mitigate the effects of Alzheimer's disease on the elderly. The proposed recognition system does not required wearable tags. By combining RSSI and Phase parameters as feature data, this method improves the diversity and richness of the collected data. A time-efficient data segmentation algorithm and an even-odd splitting technique are used for data processing. After that, various machine learning models are applied to evaluate the effectiveness of this methodology. The Random Forest model achieves the highest accuracy of 94%.","2162-1039","979-8-3503-5398-3","10.1109/ATC63255.2024.10908299","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10908299","RFID;Human Action Recognition;Alzheimer's disease;non-wearable tag","Privacy;Accuracy;Diversity reception;Size measurement;Alzheimer's disease;Older adults;Passive RFID tags;Random forests;Monitoring;Radiofrequency identification","","","","13","IEEE","7 Mar 2025","","","IEEE","IEEE Conferences"
"A Cross-Modal Mutual Knowledge Distillation Framework for Alzheimer’s Disease Diagnosis: Addressing Incomplete Modalities","M. G. Kwak; L. Mao; Z. Zheng; Y. Su; F. Lure; J. Li","H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA, USA; H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA, USA; H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Banner Alzheimer’s Institute, Phoenix, AZ, USA; MS Technologies Corporation, Rockville, MD, USA; H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA, USA",IEEE Transactions on Automation Science and Engineering,"29 Apr 2025","2025","22","","14218","14233","Early detection of Alzheimer’s Disease (AD) is crucial for timely interventions and optimizing treatment outcomes. Integrating multimodal neuroimaging datasets can enhance the early detection of AD. However, models must address the challenge of incomplete modalities, a common issue in real-world scenarios, as not all patients have access to all modalities due to practical constraints such as cost and availability. We propose a deep learning framework employing Incomplete Cross-modal Mutual Knowledge Distillation (IC-MKD) to model different sub-cohorts of patients based on their available modalities. In IC-MKD, the multimodal model (e.g., MRI and PET) serves as a teacher, while the single-modality model (e.g., MRI only) is the student. Our IC-MKD framework features three components: a Modality-Disentangling Teacher (MDT) model designed through information disentanglement, a student model that learns from classification errors and MDT’s knowledge, and the teacher model enhanced via distilling the student’s single-modal feature extraction capabilities. Moreover, we show the effectiveness of the proposed method through theoretical analysis and validate its performance with simulation studies. In addition, our method is demonstrated through a case study with Alzheimer’s Disease Neuroimaging Initiative (ADNI) datasets, underscoring the potential of artificial intelligence in addressing incomplete multimodal neuroimaging datasets and advancing early AD detection. Note to Practitioners—This paper was motivated by the challenge of early AD diagnosis, particularly in scenarios when clinicians encounter varied availability of patient imaging data, such as MRI and PET scans, often constrained by cost or accessibility issues. We propose an incomplete multimodal learning framework that produces tailored models for patients with only MRI and patients with both MRI and PET. This approach improves the accuracy and effectiveness of early AD diagnosis, especially when imaging resources are limited, via bi-directional knowledge transfer. We introduced a teacher model that prioritizes extracting common information between different modalities, significantly enhancing the student model’s learning process. This paper includes theoretical analysis, simulation study, and real-world case study to illustrate the method’s promising potential in early AD detection. However, practitioners should be mindful of the complexities involved in model tuning. Future work will focus on improving model interpretability and expanding its application. This includes developing methods to discover the key brain regions for predictions, enhancing clinical trust, and extending the framework to incorporate a broader range of imaging modalities, demographic information, and clinical data. These advancements aim to provide a more comprehensive view of patient health and improve diagnostic accuracy across various neurodegenerative diseases.","1558-3783","","10.1109/TASE.2025.3556290","NIH(grant numbers:2R42AG053149-02A1,R01AG069453,P30AG072980); NSF(grant numbers:DMS-2053170); State of Arizona; Banner Alzheimer’s Foundation; Alzheimer’s Disease Neuroimaging Initiative (ADNI) through the National Institutes of Health(grant numbers:DMS-2053170); Department of Defense (DOD) ADNI(grant numbers:W81XWH-12-2-0012); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10945821","Alzheimer’s disease;incomplete multimodal datasets;knowledge distillation;mild cognitive impairment;representation disentanglement","Magnetic resonance imaging;Neuroimaging;Feature extraction;Modeling;Imaging;Alzheimer's disease;Accuracy;Artificial intelligence;Adaptation models;Predictive models","","4","","64","IEEE","31 Mar 2025","","","IEEE","IEEE Journals"
"Research on spatial design method of rehabilitation environment based on behavioral characteristics of Alzheimer's disease patients","L. Weicong; D. Zhaoming","Department of Architecture and Environmental Design, College of Arts and Design, Guangdong University of Finance and Economics, Guangzhou City, China; Department of Architecture and Environmental Design, College of Arts and Design, Guangdong University of Finance and Economics, Guangzhou City, China",2020 International Conference on Innovation Design and Digital Technology (ICIDDT),"30 Aug 2021","2020","","","213","216","Aiming at the behavioral characteristics of patients with Alzheimer's disease (AD), this paper explored the spatial environment that was helpful for their rehabilitation treatment through the orientated spatial design and their behavioral characteristics. The movement streamline, functional layout, display decoration, color matching and intelligent application of space was taken as consideration factors, then, an in-depth study was conducted from the three main behavioral characteristics: patients roaming and wandering, sitting silent and cognitive decline, and followed by the exploration of the unconscious treatment design method of spatial environment.","","978-1-6654-0367-2","10.1109/ICIDDT52279.2020.00046","Department of Education of Guangdong Province; Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9522557","Alzheimer's disease;rehabilitation environment;environmental design;strategic approach;unconscious treatment","Technological innovation;Green design;Sociology;Layout;Color;Alzheimer's disease;Sustainable development","","3","","10","IEEE","30 Aug 2021","","","IEEE","IEEE Conferences"
"Enhanced Method For Identification Of Alzheimer’s Disease Using Deep Learning","P. Jayanthi; S. Sharath; N. Sri Sanjai; A. Thamiz Selvan","CSE Department, Kongu Engineering College, Erode, India; CSE Department, Kongu Engineering College, Erode, India; CSE Department, Kongu Engineering College, Erode, India; CSE Department, Kongu Engineering College, Erode, India",2024 15th International Conference on Computing Communication and Networking Technologies (ICCCNT),"4 Nov 2024","2024","","","1","7","An innovative approach for identifying Alzheimer’s Disease (AD) in MRI images using a Convolutional Neural Network (CNN) is provided in this research. The approach is based on transfer learning and advanced deep learning techniques. The CNN model that has been trained on the Kaggle Dataset and outperforms conventional methods with an astounding 96% accuracy rate in classifying different types of AD. By showing the potential for wider applications in healthcare and medical monitoring, this technique is a noteworthy breakthrough in medical pathology.","2473-7674","979-8-3503-7024-9","10.1109/ICCCNT61001.2024.10725790","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10725790","disease;model;Alzheimer’s;identification;images","Deep learning;Pathology;Accuracy;Magnetic resonance imaging;Transfer learning;Medical services;Convolutional neural networks;Alzheimer's disease;Monitoring;Biomedical imaging","","","","15","IEEE","4 Nov 2024","","","IEEE","IEEE Conferences"
"Analysis of Magnetic Resonance images for the detection of Alzheimer's","H. Patil; Swati; K. L; A. Chaturvedi; R. Veeranjaneyulu; V. Vekariya","Balaji Institute of Technology & Management (BITM), Sri Balaji University, Pune, Maharashtra, India; Department of Computer Science & Engineering, Graphic Era Deemed to be University, Dehradun, Uttarakhand, India; Department of Computer Science and Engineering, GITAM School of Technology, GITAM (Deemed to be University), Bengaluru, Karnataka, India; Department of IT/AI/ML, New Delhi Institute of Management, New Delhi, India; Department of Computer Science and Engineering, PACE Institute of Technology & Sciences, Ongole, Andhra Pradesh, India; Department of Computer Science and Engineering, Parul Institute of Engineering and Technology, Parul University, Gujarat, India",2024 4th Asian Conference on Innovation in Technology (ASIANCON),"21 Jan 2025","2024","","","1","6","This study aims to design a CAD tool for Alzheimer's disease (AD) detection using linear SVM classifiers on MRI scans. Existing approaches often face challenges with high-dimensional feature spaces and limited data accessibility from repositories like ADNI. To overcome these, three SVM-based classifier proposals were explored. Results demonstrated promising accuracy, sensitivity (Se), and specificity (Sp), particularly with cross-validation techniques. Notably, classifiers trained with image histograms showed superior performance in differentiating between AD, cognitively normal (CN), and mild cognitive impairment (MCI). Despite successes, initial approaches encountered difficulties, necessitating alternative methods. Challenges in data access and processing highlight the need for improved data management tools. Moving forward, refinements such as feature selection and testing with larger datasets could enhance classifier performance. Exploring deep neural networks as an extension may offer further insights into AD detection methodologies for early diagnosis and intervention.","","979-8-3503-5421-8","10.1109/ASIANCON62057.2024.10837884","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10837884","Alzheimer's disease;support vector machine (SVM);Computer-Aided Diagnosis (CAD);image processing","Support vector machines;Histograms;Technological innovation;Solid modeling;Magnetic resonance imaging;Artificial neural networks;Feature extraction;Vectors;Alzheimer's disease;Testing","","","","19","IEEE","21 Jan 2025","","","IEEE","IEEE Conferences"
"Early Detection of Alzheimer's Disease Using Machine Learning and Neuroimaging Techniques","K. V. S. S. Rama Krishna; G. Priyanka; S. Sofiya; M. K. Sri; Y. Jyothirmai","Department of IT, Vignan's Nirula Institute of Technology and Science for Women, Guntur; Department of IT, Vignan's Nirula Institute of Technology and Science for Women, Guntur; Department of IT, Vignan's Nirula Institute of Technology and Science for Women, Guntur; Department of IT, Vignan's Nirula Institute of Technology and Science for Women, Guntur; Department of IT, Vignan's Nirula Institute of Technology and Science for Women, Guntur",2025 International Conference on Machine Learning and Autonomous Systems (ICMLAS),"25 Apr 2025","2025","","","137","145","Alzheimer's disease is one of the largest challenges faced in modern medicine, and this form of dementia has symptoms ranging from basic cognitive decline to specific neurodegenerative changes due to genetics. Early and correct diagnosis are needed for timely intervention and management of the disease. We propose a cutting-edge study, DeepAD-Net, which involves creating as well as training of deep learning kind algorithm to improve the detection rate in early stages for Alzheimer's disease via combination of all data from clinical and neuroimaging. To analyze MRI, PET and CT scans as well as clinical features like demographic information, cognitive scores and genetic markers, we proposed a model that combines both high end Convolutional Neural Networks (CNNs) with attention mechanisms. This work is a pioneer in this field, and thus more similar evaluation data between our DeepAD-Net model with HNB-PDPA Model or EIDR Model, which will be conducted as future works. This study highlights the promise of merging deep learning approaches with multimodal data to improve early Alzheimer's disease diagnosis. The competitive performance of DeepAD-Net illustrates the potential to improve prediction accuracy and robustness by leveraging state-of-the-art neural network architectures as well as attention mechanisms. Results could be particularly exciting for clinicians using DeepAD-Net as a diagnostic aid and ultimately improving patient management. Going forward, we will continue to refine our model for use with other data sources and in clinical settings related to early diagnosis, as well as management of Alzheimer's disease.","","979-8-3315-0574-5","10.1109/ICMLAS64557.2025.10968483","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10968483","Alzheimer's Disease;Early Detection;Deep Learning;Convolutional Neural Networks (CNNs);Neuroimaging;MRI;PET Scans;CT scans;Attention Mechanisms Clinical Data","Neuroimaging;Deep learning;Analytical models;Attention mechanisms;Magnetic resonance imaging;Computed tomography;Genetics;Data models;Convolutional neural networks;Alzheimer's disease","","","","23","IEEE","25 Apr 2025","","","IEEE","IEEE Conferences"
"Delopment of a novel co-culture device of neuronal cells for construction of in vitro Alzheimer's disease model","T. Maruyama; S. Suzuki; L. Yoshida; K. Kotani; Y. Jimbo","Graduate School of science and technology SEIKEI University, Tokyo, Japan; Graduate School of science and technology SEIKEI University, Tokyo, Japan; Graduate School of Frontier Sciences The University of Tokyo, Chiba, Japan; Graduate School of Frontier Sciences The University of Tokyo, Chiba, Japan; Graduate School of Frontier Sciences The University of Tokyo, Chiba, Japan",The 6th 2013 Biomedical Engineering International Conference,"19 Dec 2013","2013","","","1","4","A novel co-culture device of neuronal cells was developed for analysis of cell interaction between a normal cell and an Alzheimer's disease infected cell. The device consisted of co-culture chamber system and a microelectrode arrays(MEA). The chamber system has a central chamber and three peripheral compartment chambers, connected by micro-channels. Rat hippocampal neurons were cultured separately in each of the peripheral compartment chamber. Neurites of the hippocampal neurons grow through the micro-channels to reach the central chamber and make connection. Formation of synaptic junction of the neuritis was confirmed by the imuunohistochemical staining. Electrical activities generated by hippocampal neurons network were recorded by the MEA, placed on the bottom of the three compartments. The results demonstrated the capability of this device for the analysis of pathogenic mechanism of Alzheimer's disease.","","978-1-4799-1467-8","10.1109/BMEiCon.2013.6687710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6687710","hippocampal neuronal cells;MEA;Alzheimer's disease","Electrodes;Alzheimer's disease;Neurons;Electric potential;Electric variables measurement;Educational institutions;Cells (biology)","","","","16","IEEE","19 Dec 2013","","","IEEE","IEEE Conferences"
