AUTHOR	TITLE	JOURNAL	LANGUANGE	DOCTYPE	KEYWORDS	ABSTRACT	AFFILIATION	DOI	PUBYEAR	PUBVOL	PUBISSUE	FPAGE	LPAGE	ARTNUMBER	PAGENUM
Semyachkina-Glushkovskaya, Oxana; Fedosov, Ivan; Penzel, Thomas; Li, Dongyu; Yu, Tingting; Telnova, Valeria; Kaybeleva, Elmira; Saranceva, Elena; Terskov, Andrey; Khorovodov, Alexander; Blokhina, Inna; Kurths, Jürgen; Zhu, Dan	Brain Waste Removal System and Sleep: Photobiomodulation as an Innovative Strategy for Night Therapy of Brain Diseases	International Journal of Molecular Sciences	EN	Review	brain diseases; meningeal lymphatic vessels; photobiomodulation	Emerging evidence suggests that an important function of the sleeping brain is the removal of wastes and toxins from the central nervous system (CNS) due to the activation of the brain waste removal system (BWRS). The meningeal lymphatic vessels (MLVs) are an important part of the BWRS. A decrease in MLV function is associated with Alzheimer’s and Parkinson’s diseases, intracranial hemorrhages, brain tumors and trauma. Since the BWRS is activated during sleep, a new idea is now being actively discussed in the scientific community: night stimulation of the BWRS might be an innovative and promising strategy for neurorehabilitation medicine. This review highlights new trends in photobiomodulation of the BWRS/MLVs during deep sleep as a breakthrough technology for the effective removal of wastes and unnecessary compounds from the brain in order to increase the neuroprotection of the CNS as well as to prevent or delay various brain diseases.	Institute of Physics, Humboldt University, Newtonstrasse 15, 12489 Berlin, Germany	10.3390/ijms24043221	2023	24	4	-	-	3221	-
Domínguez-Fernández, Celtia; Egiguren-Ortiz, June; Razquin, Jone; Gómez-Galán, Margarita; De las Heras-García, Laura; Paredes-Rodríguez, Elena; Astigarraga, Egoitz; Miguélez, Cristina; Barreda-Gómez, Gabriel	Review of Technological Challenges in Personalised Medicine and Early Diagnosis of Neurodegenerative Disorders	International Journal of Molecular Sciences	EN	Review	biomarker; Parkinson’s disease; Alzheimer’s disease; imaging techniques; neuroinflammation; exosomes; beta-amyloid; reactive antibodies; alpha-synuclein	Neurodegenerative disorders are characterised by progressive neuron loss in specific brain areas. The most common are Alzheimer’s disease and Parkinson’s disease; in both cases, diagnosis is based on clinical tests with limited capability to discriminate between similar neurodegenerative disorders and detect the early stages of the disease. It is common that by the time a patient is diagnosed with the disease, the level of neurodegeneration is already severe. Thus, it is critical to find new diagnostic methods that allow earlier and more accurate disease detection. This study reviews the methods available for the clinical diagnosis of neurodegenerative diseases and potentially interesting new technologies. Neuroimaging techniques are the most widely used in clinical practice, and new techniques such as magnetic resonance imaging (MRI) and positron emission tomography (PET) have significantly improved the diagnosis quality. Identifying biomarkers in peripheral samples such as blood or cerebrospinal fluid is a major focus of the current research on neurodegenerative diseases. The discovery of good markers could allow preventive screening to identify early or asymptomatic stages of the neurodegenerative process. These methods, in combination with artificial intelligence, could contribute to the generation of predictive models that will help clinicians in the early diagnosis, stratification, and prognostic assessment of patients, leading to improvements in patient treatment and quality of life.	Research and Development Division, IMG Pharma Biotech, 48160 Derio, Spain	10.3390/ijms24043321	2023	24	4	-	-	3321	-
Palimariciuc, Matei; Balmus, Ioana-Miruna; Gireadă, Bogdan; Ciobica, Alin; Chiriță, Roxana; Iordache, Alin-Constantin; Apostu, Mihai; Dobrin, Romeo	The Quest for Neurodegenerative Disease Treatment—Focusing on Alzheimer’s Disease Personalised Diets	Current Issues in Molecular Biology	EN	Review	Alzheimer’s disease; dementia; nutritional psychiatry; neuroprotection; oxidative stress; Mediterranean diet; selenium; Ginkgo biloba; Panax ginseng; Curcuma longa	Dementia represents a clinical syndrome characterised by progressive decline in memory, language, visuospatial and executive function, personality, and behaviour, causing loss of abilities to perform instrumental or essential activities of daily living. The most common cause of dementia is Alzheimer’s disease (AD), which accounts for up to 80% of all dementia cases. Despite that extensive studies regarding the etiology and risk factors have been performed in recent decades, and how the current knowledge about AD pathophysiology significantly improved with the recent advances in science and technology, little is still known about its treatment options. In this controverted context, a nutritional approach could be a promising way to formulate improved AD management strategies and to further analyse possible treatment strategy options based on personalised diets, as Nutritional Psychiatry is currently gaining relevance in neuropsychiatric disease treatment. Based on the current knowledge of AD pathophysiology, as well as based on the repeatedly documented anti-inflammatory and antioxidant potential of different functional foods, we aimed to find, describe, and correlate several dietary compounds that could be useful in formulating a nutritional approach in AD management. We performed a screening for relevant studies on the main scientific databases using keywords such as “Alzheimer’s disease”, “dementia”, “treatment”, “medication”, “treatment alternatives”, “vitamin E”, “nutrition”, “selenium”, “Ginkgo biloba”, “antioxidants”, “medicinal plants”, and “traditional medicine” in combinations. Results: nutrients could be a key component in the physiologic and anatomic development of the brain. Several nutrients have been studied in the pursuit of the mechanism triggered by the pathology of AD: vitamin D, fatty acids, selenium, as well as neuroprotective plant extracts (i.e., Ginkgo biloba, Panax ginseng, Curcuma longa), suggesting that the nutritional patterns could modulate the cognitive status and provide neuroprotection. The multifactorial origin of AD development and progression could suggest that nutrition could greatly contribute to the complex pathological picture. The identification of adequate nutritional interventions and the not yet fully understood nutrient activity in AD could be the next steps in finding several innovative treatment options for neurodegenerative disorders.	Department of Medicine III, Faculty of Medicine, Grigore T. Popa University of Medicine and Pharmacy of Iasi, 16 Universității Street, 700115 Iasi, Romania	10.3390/cimb45020098	2023	45	2	-	-	98	-
Paplomatas, Petros; Krokidis, Marios; Vlamos, Panagiotis; Vrahatis, Aristidis	An Ensemble Feature Selection Approach for Analysis and Modeling of Transcriptome Data in Alzheimer’s Disease	Applied Sciences	EN	Article	ensemble method; big data; dimensionality reduction; feature selection; Alzheimer’s disease	Data-driven analysis and characterization of molecular phenotypes comprises an efficient way to decipher complex disease mechanisms. Using emerging next generation sequencing technologies, important disease-relevant outcomes are extracted, offering the potential for precision diagnosis and therapeutics in progressive disorders. Single-cell RNA sequencing (scRNA-seq) allows the inherent heterogeneity between individual cellular environments to be exploited and provides one of the most promising platforms for quantifying cell-to-cell gene expression variability. However, the high-dimensional nature of scRNA-seq data poses a significant challenge for downstream analysis, particularly in identifying genes that are dominant across cell populations. Feature selection is a crucial step in scRNA-seq data analysis, reducing the dimensionality of data and facilitating the identification of genes most relevant to the biological question. Herein, we present a need for an ensemble feature selection methodology for scRNA-seq data, specifically in the context of Alzheimer’s disease (AD). We combined various feature selection strategies to obtain the most dominant differentially expressed genes (DEGs) in an AD scRNA-seq dataset, providing a promising approach to identify potential transcriptome biomarkers through scRNA-seq data analysis, which can be applied to other diseases. We anticipate that feature selection techniques, such as our ensemble methodology, will dominate analysis options for transcriptome data, especially as datasets increase in volume and complexity, leading to more accurate classification and the generation of differentially significant features.	Bioinformatics and Human Electrophysiology Laboratory, Department of Informatics, Ionian University, 49100 Corfu, Greece	10.3390/app13042353	2023	13	4	-	-	2353	-
Andrade-Guerrero, Jesús; Santiago-Balmaseda, Alberto; Jeronimo-Aguilar, Paola; Vargas-Rodríguez, Isaac; Cadena-Suárez, Ana; Sánchez-Garibay, Carlos; Pozo-Molina, Glustein; Méndez-Catalá, Claudia; Cardenas-Aguayo, Maria-del-Carmen; Diaz-Cintra, Sofía; Pacheco-Herrero, Mar; Luna-Muñoz, José; Soto-Rojas, Luis	Alzheimer’s Disease: An Updated Overview of Its Genetics	International Journal of Molecular Sciences	EN	Review	Alzheimer’s disease; genetics; GWAS; loci; molecular mechanisms; neurodegeneration; neuropathology	Alzheimer’s disease (AD) is the most common neurodegenerative disease in the world. It is classified as familial and sporadic. The dominant familial or autosomal presentation represents 1–5% of the total number of cases. It is categorized as early onset (EOAD; <65 years of age) and presents genetic mutations in presenilin 1 (PSEN1), presenilin 2 (PSEN2), or the Amyloid precursor protein (APP). Sporadic AD represents 95% of the cases and is categorized as late-onset (LOAD), occurring in patients older than 65 years of age. Several risk factors have been identified in sporadic AD; aging is the main one. Nonetheless, multiple genes have been associated with the different neuropathological events involved in LOAD, such as the pathological processing of Amyloid beta (Aβ) peptide and Tau protein, as well as synaptic and mitochondrial dysfunctions, neurovascular alterations, oxidative stress, and neuroinflammation, among others. Interestingly, using genome-wide association study (GWAS) technology, many polymorphisms associated with LOAD have been identified. This review aims to analyze the new genetic findings that are closely related to the pathophysiology of AD. Likewise, it analyzes the multiple mutations identified to date through GWAS that are associated with a high or low risk of developing this neurodegeneration. Understanding genetic variability will allow for the identification of early biomarkers and opportune therapeutic targets for AD.	Laboratorio de Patogénesis Molecular, Laboratorio 4, Edificio A4, Carrera Médico Cirujano, Facultad de Estudios Superiores Iztacala, Universidad Nacional Autónoma de México, Tlalnepantla 54090, Edomex, Mexico	10.3390/ijms24043754	2023	24	4	-	-	3754	-
Bravo-Vázquez, Luis; Mora-Hernández, Erick; Rodríguez, Alma; Sahare, Padmavati; Bandyopadhyay, Anindya; Duttaroy, Asim; Paul, Sujay	Current Advances of Plant-Based Vaccines for Neurodegenerative Diseases	Pharmaceutics	EN	Review	neurodegenerative disorders; plant-based vaccines; immunotherapy; Alzheimer’s disease; Parkinson’s disease; molecular farming; novel therapeutic strategies	Neurodegenerative diseases (NDDs) are characterized by the progressive degeneration and/or loss of neurons belonging to the central nervous system, and represent one of the major global health issues. Therefore, a number of immunotherapeutic approaches targeting the non-functional or toxic proteins that induce neurodegeneration in NDDs have been designed in the last decades. In this context, due to unprecedented advances in genetic engineering techniques and molecular farming technology, pioneering plant-based immunogenic antigen expression systems have been developed aiming to offer reliable alternatives to deal with important NDDs, including Alzheimer’s disease, Parkinson’s disease, and multiple sclerosis. Diverse reports have evidenced that plant-made vaccines trigger significant immune responses in model animals, supported by the production of antibodies against the aberrant proteins expressed in the aforementioned NDDs. Moreover, these immunogenic tools have various advantages that make them a viable alternative for preventing and treating NDDs, such as high scalability, no risk of contamination with human pathogens, cold chain free production, and lower production costs. Hence, this article presents an overview of the current progress on plant-manufactured vaccines for NDDs and discusses its future prospects.	School of Engineering and Sciences, Campus Querétaro, Tecnologico de Monterrey, Av. Epigmenio González, No. 500 Fracc. San Pablo, Querétaro 76130, Mexico	10.3390/pharmaceutics15020711	2023	15	2	-	-	711	-
Nazarenko, Maria; Sleptcov, Aleksei; Zarubin, Aleksei; Salakhov, Ramil; Shevchenko, Alexander; Tmoyan, Narek; Elisaphenko, Eugeny; Zubkova, Ekaterina; Zheltysheva, Nina; Ezhov, Marat; Kukharchuk, Valery; Parfyonova, Yelena; Zakian, Suren; Zakharova, Irina	Calling and Phasing of Single-Nucleotide and Structural Variants of the LDLR Gene Using Oxford Nanopore MinION	International Journal of Molecular Sciences	EN	Article	LDLR; Oxford Nanopore; familial hypercholesterolemia; structural variant; haplotype	The LDLR locus has clinical significance for lipid metabolism, Mendelian familial hypercholesterolemia (FH), and common lipid metabolism-related diseases (coronary artery disease and Alzheimer’s disease), but its intronic and structural variants are underinvestigated. The aim of this study was to design and validate a method for nearly complete sequencing of the LDLR gene using long-read Oxford Nanopore sequencing technology (ONT). Five PCR amplicons from LDLR of three patients with compound heterozygous FH were analyzed. We used standard workflows of EPI2ME Labs for variant calling. All rare missense and small deletion variants detected previously by massively parallel sequencing and Sanger sequencing were identified using ONT. One patient had a 6976 bp deletion (exons 15 and 16) that was detected by ONT with precisely located breakpoints between AluY and AluSx1. Trans-heterozygous associations between mutation c.530C>T and c.1054T>C, c.2141-966_2390-330del, and c.1327T>C, and between mutations c.1246C>T and c.940+3_940+6del of LDLR, were confirmed. We demonstrated the ability of ONT to phase variants, thereby enabling haplotype assignment for LDLR with personalized resolution. The ONT-based method was able to detect exonic variants with the additional benefit of intronic analysis in one run. This method can serve as an efficient and cost-effective tool for diagnosing FH and conducting research on extended LDLR haplotype reconstruction.	Research Institute of Medical Genetics, Tomsk National Research Medical Center, Russian Academy of Sciences, Tomsk 634050, Russia	10.3390/ijms24054471	2023	24	5	-	-	4471	-
Le Reun, Eymeric; Foray, Nicolas	Low-Dose Radiation Therapy (LDRT) against Cancer and Inflammatory or Degenerative Diseases: Three Parallel Stories with a Common Molecular Mechanism Involving the Nucleoshuttling of the ATM Protein?	Cancers	EN	Review	low-dose; radiation therapy; LDRT; radiosensitivity; cancer; inflammation; Alzheimer’s disease; HRS; hormesis; adaptive response; ATM protein	Very early after their discovery, X-rays were used in multiple medical applications, such as treatments against cancer, inflammation and pain. Because of technological constraints, such applications involved X-ray doses lower than 1 Gy per session. Progressively, notably in oncology, the dose per session increased. However, the approach of delivering less than 1 Gy per session, now called low-dose radiation therapy (LDRT), was preserved and is still applied in very specific cases. More recently, LDRT has also been applied in some trials to protect against lung inflammation after COVID-19 infection or to treat degenerative syndromes such as Alzheimer’s disease. LDRT illustrates well the discontinuity of the dose-response curve and the counterintuitive observation that a low dose may produce a biological effect higher than a certain higher dose. Even if further investigations are needed to document and optimize LDRT, the apparent paradox of some radiobiological effects specific to low dose may be explained by the same mechanistic model based on the radiation-induced nucleoshuttling of the ATM kinase, a protein involved in various stress response pathways.	Inserm, U1296 Unit, “Radiation: Defense, Health and Environment”, Centre Léon-Bérard, 28 rue Laennec, 69008 Lyon, France	10.3390/cancers15051482	2023	15	5	-	-	1482	-
AlShboul, Rabah; Thabtah, Fadi; Walter Scott, Alexander; Wang, Yun	The Application of Intelligent Data Models for Dementia Classification	Applied Sciences	EN	Article	Alzheimer’s disease; Clinical Dementia Rating; data analytics; neuropsychological assessment; neuroimaging; machine learning; feature section	Background and Objective: Dementia is a broad term for a complex range of conditions that affect the brain, such as Alzheimer’s disease (AD). Dementia affects a lot of people in the elderly community, hence there is a huge demand to better understand this condition by using cost effective and quick methods, such as neuropsychological tests, since pathological assessments are invasive and demand expensive resources. One of the promising initiatives that deals with dementia and Mild Cognitive Impairment (MCI) is the Alzheimer’s Disease Neuroimaging Initiative (ADNI), which includes cognitive tests, such as Clinical Dementia Rating (CDR) scores. The aim of this research is to investigate non-invasive dementia indicators, such as cognitive features, that are typically diagnosed by clinical assessment within ADNI’s data to understand their effect on dementia. Methods: To achieve the aim, machine learning techniques have been utilized to classify patients into Cognitively Normal (CN), MCI, or having dementia, based on the sum of CDR scores (CDR-SB) besides demographic variables. Particularly, the performance of Support Vector Machine (SVM), K-nearest neighbors (KNN), Decision Trees (C4.5), Probabilistic Naïve Bayes (NB), and Rule Induction (RIPPER) is measured with respect to different evaluation measures, including specificity, sensitivity, and harmonic mean (F-measure), among others, on a large number of cases and controls from the ADNI dataset. Results: The results indicate competitive performance when classifying subjects from the baseline selected variables using machine learning technology. Though we observed fairly good results across all machine learning algorithms utilized, there was still variation in the performance ability, indicating that some algorithms, such as NB and C4.5, are better suited to the task of classifying dementia status based on our baseline data. Conclusions: Using cognitive tests, such as CDR-SB scores, with demographic attributes to pinpoint to dementia using machine learning can be seen a less invasive approach that could be good for clinical use to aid in the diagnosis of dementia. This study gives an indication that a comprehensive assessment tool, such as CDR, may be adequate in assessing and assigning a dementia class to patients, upon their visit, in order to speed further clinical procedures.	Computer Science Department, Prince Hussein Bin Abdullah College for Information Technology, Al Al-Bayt University, Mafraq 25113, Jordan	10.3390/app13063612	2023	13	6	-	-	3612	-
Ringgit, Gilbert; Siddiquee, Shafiquzzaman; Saallah, Suryani; Mohamad Lal, Mohammad	Nanomaterial Sensing Advantages: Electrochemical Behavior, Optimization and Performance of f-MWCNTs/CS/PB/AuE towards Aluminum Ions (Al3+) in Drinking Water	Crystals	EN	Article	aluminum ions; functionalized multi-walled carbon nanotubes; chitosan; Prussian blue; drinking water	Modern technology has been evolving towards nanotechnology due to the materials that can be transformed and manipulated on micro and nanoscales. In terms of detection, nanomaterials offer substantial sensing advantages, particularly in terms of enhanced sensitivity, synergistic effect, stability and selectivity. The immobilization of nanoparticles could alter the physicochemical properties of the electrode’s surface depending on the type of materials synthesized and employed. This research examined the synthesis of multiwalled carbon nanotubes (MWCNTs) and chitosan (CS), as well as the immobilization of Prussian blue (PB) on the surface of a bare gold electrode (AuE). These materials have been reported to have strong electrical conductivity and nanomaterial compatibility. In contrast, aluminum has been described as a replacement for traditional water quality treatment processes, such as chlorination and ozonation. Aluminum concentrations must be monitored despite the use of chemical treatment for water quality. Hence, excessive levels of exposure frequently result in neurotoxic effects including Alzheimer’s and Parkinson’s disorders. In this experiment, the optimal conditions for f-MWCNTs, CS, PB, and AuE for the detection of Al3+ are phosphate-buffered saline (PBS) (0.1 M, pH 2) with 5 mM Prussian Blue; scan rate = 0.25 Vs−1; accumulation duration = 25 s; and volume = 10 mL (ratio of 4:6). The performance of f-MWCNTs, CS, PB, and AuE was measured between 0.2 and 1 ppm with a correlation coefficient of R2 = 0.9853 (y = 0.0387x + 0.0748). The limit of detection (LOD) of the modified electrode was determined to be 0.002 ppm, with a recovery of 98.66–99.56%. The application of nanoparticles resulted in various advantages, including high conductivity, a simple, less time-consuming preparation technique, and enhanced sensitivity and stability for detecting the lowest concentration of Al3+ in drinking water.	Biotechnology Research Institute, Universiti Malaysia Sabah, Kota Kinabalu 88400, Sabah, Malaysia	10.3390/cryst13030497	2023	13	3	-	-	497	-
